Country,Player Name,Gold,Silver,Bronze,Total Medals
NED,van LAARHOVEN Renee,1,0,0,1
NED,van der HORST Dimeo,1,0,0,1
NED,van DAM Thijs,1,0,0,1
NED,van ASS Seve,1,0,0,1
NED,van AANHOLT Odile,1,0,0,1
NED,van HEIJNINGEN Steijn,1,0,0,1
NED,VEEN Marijn,1,0,0,1
NED,van LIEROP Lennart,1,0,0,1
NED,WORTELBOER Floris,1,0,0,1
NED,VERSCHOOR Maria,1,0,0,1
NED,van ROUWENDAAL Sharon,1,0,0,1
NOR,AARDAHL Maren,1,0,0,1
NED,WIETEN Tone,1,0,0,1
NED,VEENENDAAL Anne,1,0,0,1
NOR,KOANDA Solfrid Eila Amena,1,0,0,1
NOR,BREISTOEL Kristine,1,0,0,1
NOR,JACOBSEN Marit,1,0,0,1
NOR,INGEBRIGTSEN Jakob,1,0,0,1
NOR,BRATTSET DALE Kari,1,0,0,1
NOR,HERREM Camilla,1,0,0,1
NOR,INGSTAD Vilde,1,0,0,1
NOR,REISTAD Henny,1,0,0,1
NOR,KRISTIANSEN Veronica,1,0,0,1
NOR,MOERK Nora,1,0,0,1
NOR,ROOTH Markus,1,0,0,1
NOR,LUNDE Katrine,1,0,0,1
NOR,RUSHFELDT DEILA Thale,1,0,0,1
NOR,SKOGRAND Stine,1,0,0,1
NOR,OFTEDAL Stine Bredal,1,0,0,1
NZL,BLYDE Michaela,1,0,0,1
NZL,FRANCIS Brooke,1,0,0,1
NZL,BRETT Olivia,1,0,0,1
NOR,SOLBERG-OESTHASSEL Silje,1,0,0,1
NZL,FELIX-HOTHAM Jazmin,1,0,0,1
NZL,BUTCHER Finn,1,0,0,1
NOR,SOLBERG-ISAKSEN Sanna,1,0,0,1
NZL,HIRINI Sarah,1,0,0,1
NZL,MILLER Jorja,1,0,0,1
NZL,PAUL Mahina,1,0,0,1
NZL,KERR Hamish,1,0,0,1
NZL,KING Tyla,1,0,0,1
NZL,KO Lydia,1,0,0,1
NZL,NUKU Manaia,1,0,0,1
NZL,POURI-LANE Risi,1,0,0,1
